iter	Passed	Remaining
0	151	151793
1	154	76900
2	155	51814
3	157	39273
4	160	32001
5	167	27733
6	169	24030
7	171	21231
8	173	19076
9	176	17464
10	181	16335
11	183	15122
12	185	14087
13	187	13197
14	191	12590
15	193	11920
16	196	11365
17	198	10840
18	200	10364
19	204	10001
20	210	9795
21	212	9450
22	214	9127
23	223	9069
24	226	8838
25	228	8566
26	230	8309
27	233	8121
28	238	7986
29	242	7826
30	244	7635
31	246	7451
32	249	7303
33	253	7188
34	255	7049
35	257	6906
36	260	6770
37	263	6661
38	269	6635
39	271	6521
40	273	6404
41	275	6290
42	282	6283
43	286	6222
44	288	6123
45	290	6025
46	293	5943
47	301	5977
48	303	5888
49	305	5808
50	308	5749
51	313	5713
52	315	5640
53	317	5567
54	319	5495
55	321	5424
56	327	5424
57	330	5366
58	332	5306
59	334	5244
60	337	5197
61	343	5198
62	346	5157
63	349	5109
64	352	5070
65	361	5115
66	364	5079
67	367	5037
68	370	5004
69	373	4961
70	375	4916
71	377	4870
72	379	4824
73	382	4792
74	389	4804
75	392	4773
76	395	4734
77	398	4710
78	404	4716
79	406	4675
80	408	4632
81	410	4593
82	411	4545
83	419	4570
84	421	4537
85	423	4502
86	425	4468
87	429	4446
88	433	4433
89	435	4404
90	437	4371
91	439	4340
92	443	4324
93	447	4315
94	450	4289
95	452	4263
96	454	4234
97	458	4216
98	462	4208
99	465	4187
100	467	4160
101	469	4134
102	475	4139
103	478	4119
104	480	4096
105	482	4071
106	486	4059
107	491	4059
108	494	4038
109	496	4015
110	498	3990
111	501	3978
112	506	3973
113	509	3961
114	511	3939
115	514	3917
116	515	3893
117	522	3906
118	525	3886
119	527	3866
120	529	3848
121	533	3840
122	537	3829
123	539	3809
124	541	3790
125	544	3780
126	548	3768
127	561	3823
128	565	3820
129	570	3816
130	572	3796
131	575	3786
132	581	3788
133	583	3770
134	585	3752
135	587	3734
136	590	3722
137	597	3734
138	600	3720
139	602	3702
140	604	3684
141	608	3674
142	611	3662
143	613	3647
144	615	3629
145	617	3611
146	630	3657
147	632	3641
148	634	3624
149	640	3626
150	642	3614
151	644	3598
152	647	3582
153	649	3565
154	653	3560
155	655	3548
156	659	3541
157	662	3529
158	671	3550
159	673	3537
160	675	3520
161	677	3504
162	686	3524
163	689	3516
164	692	3502
165	694	3487
166	701	3498
167	704	3491
168	707	3476
169	709	3462
170	716	3472
171	719	3462
172	721	3448
173	723	3433
174	726	3427
175	731	3423
176	734	3413
177	736	3400
178	738	3386
179	745	3397
180	748	3388
181	750	3374
182	753	3361
183	756	3355
184	762	3360
185	764	3347
186	766	3333
187	768	3319
188	775	3328
189	779	3321
190	782	3314
191	785	3305
192	789	3299
193	791	3290
194	794	3279
195	796	3266
196	798	3254
197	803	3253
198	806	3246
199	808	3234
200	810	3223
201	812	3210
202	815	3202
203	819	3198
204	822	3188
205	824	3176
206	826	3164
207	828	3153
208	834	3157
209	836	3147
210	838	3136
211	841	3126
212	843	3116
213	848	3117
214	851	3108
215	853	3097
216	855	3087
217	857	3075
218	859	3065
219	863	3061
220	865	3052
221	868	3042
222	870	3031
223	871	3020
224	873	3009
225	877	3003
226	879	2995
227	881	2985
228	883	2976
229	886	2966
230	889	2959
231	893	2957
232	895	2948
233	898	2940
234	900	2930
235	902	2920
236	906	2916
237	909	2912
238	912	2904
239	914	2895
240	916	2885
241	922	2890
242	925	2881
243	927	2873
244	929	2863
245	931	2854
246	935	2853
247	938	2845
248	940	2837
249	942	2828
250	944	2819
251	953	2828
252	956	2823
253	958	2815
254	960	2807
255	968	2815
256	970	2806
257	972	2797
258	975	2790
259	977	2782
260	984	2786
261	986	2778
262	988	2770
263	990	2762
264	995	2761
265	998	2755
266	1001	2749
267	1003	2742
268	1007	2737
269	1011	2733
270	1013	2726
271	1015	2719
272	1017	2710
273	1020	2703
274	1023	2699
275	1026	2693
276	1029	2686
277	1031	2678
278	1033	2670
279	1035	2661
280	1042	2668
281	1044	2660
282	1046	2652
283	1048	2644
284	1050	2635
285	1058	2641
286	1060	2633
287	1062	2626
288	1064	2618
289	1066	2611
290	1070	2607
291	1072	2601
292	1075	2594
293	1076	2585
294	1078	2578
295	1080	2570
296	1085	2569
297	1087	2562
298	1089	2555
299	1091	2547
300	1093	2540
301	1095	2532
302	1100	2531
303	1102	2525
304	1104	2517
305	1106	2510
306	1108	2502
307	1110	2495
308	1115	2494
309	1118	2488
310	1120	2482
311	1122	2474
312	1124	2467
313	1127	2463
314	1131	2460
315	1133	2454
316	1136	2447
317	1138	2440
318	1140	2434
319	1145	2434
320	1148	2428
321	1150	2422
322	1152	2416
323	1155	2410
324	1160	2410
325	1164	2407
326	1166	2401
327	1168	2394
328	1170	2387
329	1174	2384
330	1180	2385
331	1182	2379
332	1184	2372
333	1193	2378
334	1195	2372
335	1197	2366
336	1200	2361
337	1210	2370
338	1212	2364
339	1214	2357
340	1222	2363
341	1225	2357
342	1226	2350
343	1228	2343
344	1231	2337
345	1238	2341
346	1240	2334
347	1242	2328
348	1244	2321
349	1246	2315
350	1252	2315
351	1254	2310
352	1257	2304
353	1259	2297
354	1261	2291
355	1264	2287
356	1268	2284
357	1270	2278
358	1272	2272
359	1274	2266
360	1276	2259
361	1279	2255
362	1283	2251
363	1285	2245
364	1287	2239
365	1289	2233
366	1291	2227
367	1296	2226
368	1298	2220
369	1300	2214
370	1302	2208
371	1304	2202
372	1306	2195
373	1312	2196
374	1314	2191
375	1320	2191
376	1322	2185
377	1324	2179
378	1326	2173
379	1328	2167
380	1331	2163
381	1335	2160
382	1337	2155
383	1339	2149
384	1341	2143
385	1343	2137
386	1348	2136
387	1351	2131
388	1353	2125
389	1355	2120
390	1357	2114
391	1359	2108
392	1363	2105
393	1365	2100
394	1367	2094
395	1369	2089
396	1372	2084
397	1377	2083
398	1380	2079
399	1382	2073
400	1384	2068
401	1386	2062
402	1389	2058
403	1393	2055
404	1396	2051
405	1398	2045
406	1400	2040
407	1402	2034
408	1406	2032
409	1409	2028
410	1411	2023
411	1413	2017
412	1416	2013
413	1419	2008
